season,competition,round,match_code,event_id,match_label,match_date_utc,home_team,home_team_key,away_team,away_team_key,home_score,away_score,status,venue_name,source_url,data_status,last_updated_at,transformed_at
2026,serie_b,2,uOsbP,15525995,Ponte Preta 1 x 1 Ceará,2026-04-02T00:00:00Z,Ponte Preta,ponte-preta,Ceará,ceara,1,1,completed,,https://www.sofascore.com/football/match/ceara-ponte-preta/uOsbP,score_confirmed,2026-04-08T13:42:30.695010Z,2026-04-08T13:47:07.908622Z
2026,serie_b,2,pWcsHPi,15526003,CRB 0 x 1 Avaí,2026-04-02T00:30:00Z,CRB,crb,Avaí,avai,0,1,completed,,https://www.sofascore.com/football/match/crb-avai/pWcsHPi,score_confirmed,2026-04-08T13:42:30.695019Z,2026-04-08T13:47:07.908622Z
2026,serie_b,2,JOsAfMc,15526001,Criciúma 1 x 1 Athletic Club,2026-04-02T00:30:00Z,Criciúma,criciuma,Athletic Club,athletic-club,1,1,completed,,https://www.sofascore.com/football/match/athletic-club-criciuma/JOsAfMc,score_confirmed,2026-04-08T13:42:30.695028Z,2026-04-08T13:47:07.908622Z
2026,serie_b,2,JRpseau,15525996,São Bernardo 1 x 2 Operário-PR,2026-04-02T22:00:00Z,São Bernardo,sao-bernardo,Operário-PR,operario-pr,1,2,completed,,https://www.sofascore.com/football/match/sao-bernardo-operario-pr/JRpseau,score_confirmed,2026-04-08T13:42:30.695037Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,FOsvP,15526009,Fortaleza 2 x 1 Juventude,2026-04-04T19:00:00Z,Fortaleza,fortaleza,Juventude,juventude,2,1,completed,,https://www.sofascore.com/football/match/fortaleza-juventude/FOsvP,score_confirmed,2026-04-08T13:42:30.931129Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,bPscJu,15526013,Cuiabá 0 x 2 Ceará,2026-04-04T21:00:00Z,Cuiabá,cuiaba,Ceará,ceara,0,2,completed,,https://www.sofascore.com/football/match/cuiaba-ceara/bPscJu,score_confirmed,2026-04-08T13:42:30.931146Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,uOslP,15526012,Náutico 1 x 0 Ponte Preta,2026-04-04T21:00:00Z,Náutico,nautico,Ponte Preta,ponte-preta,1,0,completed,,https://www.sofascore.com/football/match/nautico-ponte-preta/uOslP,score_confirmed,2026-04-08T13:42:30.931155Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,wPsoWc,15526014,Vila Nova FC 2 x 1 Atlético Goianiense,2026-04-04T23:00:00Z,Vila Nova FC,vila-nova-fc,Atlético Goianiense,atletico-go,2,1,completed,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,score_confirmed,2026-04-08T13:42:30.931167Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,jOsxP,15526008,Londrina 1 x 2 Sport Recife,2026-04-04T23:30:00Z,Londrina,londrina,Sport Recife,sport,1,2,completed,,https://www.sofascore.com/football/match/londrina-sport-recife/jOsxP,score_confirmed,2026-04-08T13:42:30.931179Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,pWcsJRp,15526011,Avaí 0 x 0 Operário-PR,2026-04-05T19:00:00Z,Avaí,avai,Operário-PR,operario-pr,0,0,completed,,https://www.sofascore.com/football/match/operario-pr-avai/pWcsJRp,score_confirmed,2026-04-08T13:42:30.931187Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,HPisokeb,15526006,Grêmio Novorizontino 1 x 1 CRB,2026-04-05T21:00:00Z,Grêmio Novorizontino,novorizontino,CRB,crb,1,1,completed,,https://www.sofascore.com/football/match/gremio-novorizontino-crb/HPisokeb,score_confirmed,2026-04-08T13:42:30.931197Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,yOsAfMc,15526007,Athletic Club 1 x 1 América Mineiro,2026-04-05T23:00:00Z,Athletic Club,athletic-club,América Mineiro,america-mineiro,1,1,completed,,https://www.sofascore.com/football/match/athletic-club-america-mineiro/yOsAfMc,score_confirmed,2026-04-08T13:42:30.931205Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,EOseau,15526005,Botafogo-SP 1 x 2 São Bernardo,2026-04-05T23:30:00Z,Botafogo-SP,botafogo-sp,São Bernardo,sao-bernardo,1,2,completed,,https://www.sofascore.com/football/match/sao-bernardo-botafogo-sp/EOseau,score_confirmed,2026-04-08T13:42:30.931213Z,2026-04-08T13:47:07.908622Z
2026,serie_b,3,kOsJO,15526010,Goiás 1 x 0 Criciúma,2026-04-07T00:00:00Z,Goiás,goias,Criciúma,criciuma,1,0,completed,,https://www.sofascore.com/football/match/criciuma-goias/kOsJO,score_confirmed,2026-04-08T13:42:30.931222Z,2026-04-08T13:47:07.908622Z
