season,competition,round,match_code,team_name,team_key,is_home,possession,expected_goals,shots_total,shots_on_target,shots_on_target_pct,corners,fouls,passes_total,passes_accurate,passes_accuracy_pct,tackles_total,yellow_cards,red_cards,data_status,last_updated_at,transformed_at
2026,serie_b,1,wPsHPi,Vila Nova FC,vila-nova,True,35,0.47,8,4,50.0,3,22,240.0,173.0,72.1,15,4,1,advanced_stats_confirmed,2026-04-13T11:10:38.875281Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,wPsHPi,CRB,crb,False,65,1.13,12,9,75.0,5,16,433.0,361.0,83.4,11,4,1,advanced_stats_confirmed,2026-04-13T11:10:38.875281Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,bPseau,Ceará,ceara,True,52,1.77,21,6,28.6,7,8,407.0,341.0,83.8,14,2,0,advanced_stats_confirmed,2026-04-13T11:10:38.875301Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,bPseau,São Bernardo,sao-bernardo,False,48,0.24,4,3,75.0,3,18,382.0,314.0,82.2,14,0,0,advanced_stats_confirmed,2026-04-13T11:10:38.875301Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,oWcsJRp,Operário-PR,operario-pr,True,43,2.73,17,10,58.8,7,14,332.0,262.0,78.9,16,2,0,advanced_stats_confirmed,2026-04-13T11:10:38.875311Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,oWcsJRp,Atlético Goianiense,atletico-go,False,57,0.59,9,0,0.0,7,12,433.0,365.0,84.3,9,2,0,advanced_stats_confirmed,2026-04-13T11:10:38.875311Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,EOsvP,Botafogo-SP,botafogo-sp,True,47,2.6,15,6,40.0,7,13,339.0,281.0,82.9,17,2,0,advanced_stats_confirmed,2026-04-13T11:10:38.875319Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,EOsvP,Fortaleza,fortaleza,False,53,0.34,7,0,0.0,5,20,389.0,336.0,86.4,12,5,1,advanced_stats_confirmed,2026-04-13T11:10:38.875319Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,jOscJu,Cuiabá,cuiaba,True,42,1.32,13,4,30.8,0,20,356.0,290.0,81.5,12,1,0,advanced_stats_confirmed,2026-04-13T11:10:38.875331Z,2026-06-02T14:46:53.466856Z
2026,serie_b,1,jOscJu,Sport Recife,sport,False,58,0.92,10,1,10.0,1,21,500.0,428.0,85.6,8,2,0,advanced_stats_confirmed,2026-04-13T11:10:38.875331Z,2026-06-02T14:46:53.466856Z
