season,competition,round,match_code,team_name,team_key,is_home,possession,expected_goals,shots_total,shots_on_target,shots_on_target_pct,corners,fouls,passes_total,passes_accurate,passes_accuracy_pct,tackles_total,yellow_cards,red_cards,data_status,last_updated_at,transformed_at
2025,serie_b,36,mPsokeb,Grêmio Novorizontino,novorizontino,True,29,1.16,8,3,37.5,2,13.0,164,99,60.4,8,4.0,1,advanced_stats_confirmed,2026-05-07T16:20:49.655357Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,mPsokeb,Remo,remo,False,71,0.24,7,1,14.3,1,10.0,439,353,80.4,14,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655357Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,rOsHOc,Athletico,athletico,True,51,0.95,15,5,33.3,2,13.0,424,363,85.6,16,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655372Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,rOsHOc,Volta Redonda,volta-redonda,False,49,1.62,15,3,20.0,8,12.0,412,347,84.2,15,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655372Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,wPspWc,Vila Nova FC,vila-nova,True,37,0.77,8,3,37.5,2,26.0,298,235,78.9,7,5.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655386Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,wPspWc,Avaí,avai,False,63,1.67,14,6,42.9,9,12.0,492,425,86.4,13,1.0,1,advanced_stats_confirmed,2026-05-07T16:20:49.655386Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,JOsoWc,Criciúma,criciuma,True,52,2.34,21,7,33.3,10,14.0,336,266,79.2,18,0.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655400Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,JOsoWc,Atlético Goianiense,atletico-go,False,48,0.64,11,0,0.0,3,14.0,328,255,77.7,10,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655400Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,HPisJRp,CRB,crb,True,71,1.18,25,9,36.0,7,17.0,522,475,91.0,10,5.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655414Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,HPisJRp,Operário-PR,operario-pr,False,29,0.46,10,3,30.0,4,7.0,209,140,67.0,16,3.0,1,advanced_stats_confirmed,2026-05-07T16:20:49.655414Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,HOsXO,Paysandu SC,paysandu-sc,True,52,1.11,11,1,9.1,4,14.0,541,492,90.9,10,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655429Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,HOsXO,Coritiba,coritiba,False,48,0.55,5,2,40.0,3,9.0,508,456,89.8,7,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655429Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,EOsoIJc,Botafogo-SP,botafogo-sp,True,43,1.18,7,3,42.9,6,18.0,294,229,77.9,9,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655446Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,EOsoIJc,Amazonas FC,amazonas-fc,False,57,0.8,19,2,10.5,4,7.0,401,315,78.6,8,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655446Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,yOsVLi,Chapecoense,chapecoense,True,70,2.12,24,4,16.7,13,15.0,496,427,86.1,14,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655455Z,2026-05-07T17:00:43.505786Z
2025,serie_b,36,yOsVLi,América Mineiro,america-mg,False,30,0.7,9,4,44.4,1,11.0,223,150,67.3,8,5.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.655455Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,XOsoIJc,Paysandu SC,paysandu-sc,True,59,2.26,26,9,34.6,6,17.0,423,375,88.7,14,4.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960530Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,XOsoIJc,Amazonas FC,amazonas-fc,False,41,1.5,13,3,23.1,3,12.0,292,230,78.8,11,4.0,1,advanced_stats_confirmed,2026-05-07T16:20:49.960530Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,oWcsJRp,Atlético Goianiense,atletico-go,True,59,1.2,12,2,16.7,6,19.0,401,351,87.5,16,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960551Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,oWcsJRp,Operário-PR,operario-pr,False,41,0.68,7,3,42.9,2,22.0,278,227,81.7,13,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960551Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,mPspWc,Avaí,avai,True,33,2.26,13,6,46.2,4,17.0,254,183,72.0,15,2.0,4,advanced_stats_confirmed,2026-05-07T16:20:49.960563Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,mPspWc,Remo,remo,False,67,1.43,21,5,23.8,12,12.0,519,443,85.4,13,2.0,2,advanced_stats_confirmed,2026-05-07T16:20:49.960563Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,wPsHPi,CRB,crb,True,63,1.16,17,8,47.1,9,15.0,567,511,90.1,15,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960574Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,wPsHPi,Vila Nova FC,vila-nova,False,37,0.28,5,1,20.0,3,9.0,337,286,84.9,9,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960574Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,HOsAfMc,Coritiba,coritiba,True,63,0.83,9,1,11.1,4,13.0,462,398,86.1,20,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960614Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,HOsAfMc,Athletic Club,athletic-club,False,37,0.55,6,0,0.0,4,14.0,281,213,75.8,14,6.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960614Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,HOcsVLi,Volta Redonda,volta-redonda,True,41,0.4,11,2,18.2,3,12.0,335,245,73.1,16,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960631Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,HOcsVLi,Chapecoense,chapecoense,False,59,0.99,18,3,16.7,4,11.0,462,377,81.6,13,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960631Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,yOscJu,América Mineiro,america-mg,True,58,0.35,10,2,20.0,3,17.0,394,324,82.2,12,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960642Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,yOscJu,Cuiabá,cuiaba,False,42,0.55,9,2,22.2,1,14.0,288,221,76.7,19,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960642Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,EOsJO,Criciúma,criciuma,True,48,1.16,16,4,25.0,5,7.0,391,313,80.1,14,0.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960652Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,EOsJO,Botafogo-SP,botafogo-sp,False,52,0.23,13,2,15.4,3,8.0,423,337,79.7,11,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960652Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,rOsKfo,Ferroviária,ferroviaria,True,46,1.31,10,1,10.0,1,8.0,352,280,79.5,16,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960667Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,rOsKfo,Athletico,athletico,False,54,1.22,21,8,38.1,9,12.0,403,336,83.4,10,4.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960667Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,kOsokeb,Goiás,goias,True,41,0.78,10,3,30.0,4,8.0,315,254,80.6,18,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960676Z,2026-05-07T17:00:43.505786Z
2025,serie_b,37,kOsokeb,Grêmio Novorizontino,novorizontino,False,59,0.65,10,4,40.0,7,10.0,446,382,85.7,24,0.0,0,advanced_stats_confirmed,2026-05-07T16:20:49.960676Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,wPsHOc,Vila Nova FC,vila-nova,True,58,2.67,31,10,32.3,14,14.0,437,377,86.3,22,4.0,1,advanced_stats_confirmed,2026-05-07T16:20:50.267850Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,wPsHOc,Volta Redonda,volta-redonda,False,42,0.75,8,2,25.0,3,11.0,334,267,79.9,10,6.0,1,advanced_stats_confirmed,2026-05-07T16:20:50.267850Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,HPisokeb,Grêmio Novorizontino,novorizontino,True,37,3.27,17,10,58.8,4,10.0,309,252,81.6,9,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267866Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,HPisokeb,CRB,crb,False,63,0.65,16,5,31.2,12,9.0,531,455,85.7,11,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267866Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,HOsoIJc,Amazonas FC,amazonas-fc,True,70,0.88,17,4,23.5,9,17.0,460,402,87.4,6,6.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267876Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,HOsoIJc,Coritiba,coritiba,False,30,0.99,11,5,45.5,6,17.0,199,135,67.8,14,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267876Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,XOsAfMc,Athletic Club,athletic-club,True,66,2.94,17,9,52.9,8,12.0,476,399,83.8,25,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267885Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,XOsAfMc,Paysandu SC,paysandu-sc,False,34,0.27,7,4,57.1,1,17.0,257,195,75.9,9,4.0,1,advanced_stats_confirmed,2026-05-07T16:20:50.267885Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,rOsyO,Athletico,athletico,True,48,1.3,14,4,28.6,4,5.0,353,309,87.5,20,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267894Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,rOsyO,América Mineiro,america-mg,False,52,0.96,9,2,22.2,4,12.0,393,337,85.8,14,4.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267894Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,EOspWc,Botafogo-SP,botafogo-sp,True,55,2.15,23,6,26.1,13,14.0,466,408,87.6,13,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267902Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,EOspWc,Avaí,avai,False,45,0.44,6,3,50.0,9,10.0,405,321,79.3,15,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267902Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,oWcsVLi,Chapecoense,chapecoense,True,31,1.37,12,6,50.0,8,7.0,247,181,73.3,12,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267911Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,oWcsVLi,Atlético Goianiense,atletico-go,False,69,0.53,12,4,33.3,3,10.0,559,505,90.3,6,4.0,2,advanced_stats_confirmed,2026-05-07T16:20:50.267911Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,JOscJu,Cuiabá,cuiaba,True,63,1.23,20,4,20.0,5,14.0,470,407,86.6,12,5.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267919Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,JOscJu,Criciúma,criciuma,False,37,0.7,12,4,33.3,6,9.0,280,201,71.8,12,4.0,1,advanced_stats_confirmed,2026-05-07T16:20:50.267919Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,KfosJRp,Operário-PR,operario-pr,True,61,1.66,14,5,35.7,10,17.0,404,333,82.4,13,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267929Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,KfosJRp,Ferroviária,ferroviaria,False,39,0.66,12,1,8.3,3,16.0,264,202,76.5,14,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267929Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,kOsmP,Remo,remo,True,59,1.6,20,7,35.0,8,12.0,357,288,80.7,19,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267940Z,2026-05-07T17:00:43.505786Z
2025,serie_b,38,kOsmP,Goiás,goias,False,41,0.45,12,2,16.7,5,9.0,262,194,74.0,11,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:50.267940Z,2026-05-07T17:00:43.505786Z
