season,competition,round,match_code,event_id,match_label,match_date_utc,home_team,home_team_key,away_team,away_team_key,home_score,away_score,status,venue_name,source_url,data_status,last_updated_at,transformed_at
2025,serie_b,1,kOsoIJc,13525840,Goiás 1.0 x 0.0 Amazonas FC,2025-04-04T22:00:00Z,Goiás,goias,Amazonas FC,amazonas-fc,1.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,JOsJRp,13525933,Criciúma 1.0 x 2.0 Operário-PR,2025-04-05T00:00:00Z,Criciúma,criciuma,Operário-PR,operario-pr,1.0,2.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,rOsXO,13525850,Paysandu SC 1.0 x 2.0 Athletico,2025-04-05T00:00:00Z,Paysandu SC,paysandu-sc,Athletico,athletico,1.0,2.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,VLisHPi,13525835,CRB 1.0 x 0.0 Chapecoense,2025-04-05T19:00:00Z,CRB,crb,Chapecoense,chapecoense,1.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,HOswP,13525935,Coritiba 1.0 x 0.0 Vila Nova FC,2025-04-05T19:00:00Z,Coritiba,coritiba,Vila Nova FC,vila-nova,1.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,yOsEO,13525862,América Mineiro 1.0 x 0.0 Botafogo-SP,2025-04-05T21:30:00Z,América Mineiro,america-mg,Botafogo-SP,botafogo-sp,1.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,mPsKfo,13525845,Ferroviária 1.0 x 1.0 Remo,2025-04-06T22:00:00Z,Ferroviária,ferroviaria,Remo,remo,1.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,HOcscJu,13525844,Volta Redonda 0.0 x 1.0 Cuiabá,2025-04-06T22:00:00Z,Volta Redonda,volta-redonda,Cuiabá,cuiaba,0.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,pWcsokeb,13525934,Avaí 1.0 x 1.0 Grêmio Novorizontino,2025-04-06T23:00:00Z,Avaí,avai,Grêmio Novorizontino,novorizontino,1.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,1,oWcsAfMc,13525848,Atlético Goianiense 4.0 x 2.0 Athletic Club,2025-04-07T22:00:00Z,Atlético Goianiense,atletico-go,Athletic Club,athletic-club,4.0,2.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,KfosoIJc,13616283,Ferroviária 2.0 x 1.0 Amazonas FC,2025-08-08T22:00:00Z,Ferroviária,ferroviaria,Amazonas FC,amazonas-fc,2.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,HOsVLi,13616275,Coritiba 0.0 x 0.0 Chapecoense,2025-08-09T00:35:00Z,Coritiba,coritiba,Chapecoense,chapecoense,0.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,rOsJO,13616280,Criciúma ? x ? Athletico,2025-08-09T18:00:00Z,Criciúma,criciuma,Athletico,athletico,,,postponed,,,scheduled,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,yOsmP,13616282,América Mineiro 0.0 x 1.0 Remo,2025-08-09T19:00:00Z,América Mineiro,america-mg,Remo,remo,0.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,kOsJRp,13616276,Goiás 2.0 x 1.0 Operário-PR,2025-08-09T21:30:00Z,Goiás,goias,Operário-PR,operario-pr,2.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,HOcsokeb,13616284,Volta Redonda 0.0 x 0.0 Grêmio Novorizontino,2025-08-09T23:30:00Z,Volta Redonda,volta-redonda,Grêmio Novorizontino,novorizontino,0.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,pWcscJu,13616279,Avaí 2.0 x 0.0 Cuiabá,2025-08-10T19:00:00Z,Avaí,avai,Cuiabá,cuiaba,2.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,EOsoWc,13616277,Atlético Goianiense 2.0 x 0.0 Botafogo-SP,2025-08-10T21:30:00Z,Atlético Goianiense,atletico-go,Botafogo-SP,botafogo-sp,2.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,rOsJO,14336256,Criciúma 4.0 x 2.0 Athletico,2025-08-11T22:00:00Z,Criciúma,criciuma,Athletico,athletico,4.0,2.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,XOswP,13616278,Paysandu SC 0.0 x 1.0 Vila Nova FC,2025-08-12T00:30:00Z,Paysandu SC,paysandu-sc,Vila Nova FC,vila-nova,0.0,1.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,21,HPisAfMc,13616281,CRB 1.0 x 0.0 Athletic Club,2025-08-12T22:30:00Z,CRB,crb,Athletic Club,athletic-club,1.0,0.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
2025,serie_b,22,HOsokeb,13616294,Grêmio Novorizontino 1.0 x 2.0 Coritiba,2025-08-15T00:35:00Z,Grêmio Novorizontino,novorizontino,Coritiba,coritiba,1.0,2.0,completed,,,score_confirmed,,2026-05-07T17:00:43.492970Z
