season,competition,round,match_id,team_name,is_home,possession,expected_goals,shots_total,shots_on_target,corners,fouls,passes_total,passes_accurate,tackles_total,yellow_cards,red_cards,source_url,data_status,last_updated_at
2026,"Cearense, Serie A, Playoffs",29,bPsvP,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,advanced_stats_missing,2026-04-28T19:32:21.743536Z
2026,Copa Betano do Brasil,3,vPsemhd,Manauara EC,True,42.0,0.59,,4.0,1.0,20.0,0.0,,,2.0,0.0,https://www.sofascore.com/football/match/manauara-ec-fortaleza/vPsemhd,advanced_stats_partial,2026-04-28T19:32:21.743546Z
2026,Copa Betano do Brasil,3,vPsemhd,Fortaleza,False,58.0,1.52,,4.0,7.0,24.0,16.0,,,4.0,0.0,https://www.sofascore.com/football/match/manauara-ec-fortaleza/vPsemhd,advanced_stats_partial,2026-04-28T19:32:21.743546Z
2026,Copa Betano do Brasil,4,vPsGOc,Nova Iguaçu,True,63.0,0.31,6.0,1.0,1.0,17.0,579.0,519.0,10.0,2.0,0.0,https://www.sofascore.com/football/match/nova-iguacu-fortaleza/vPsGOc,advanced_stats_confirmed,2026-04-28T19:32:21.743555Z
2026,Copa Betano do Brasil,4,vPsGOc,Fortaleza,False,37.0,0.79,9.0,3.0,2.0,15.0,347.0,277.0,21.0,3.0,0.0,https://www.sofascore.com/football/match/nova-iguacu-fortaleza/vPsGOc,advanced_stats_confirmed,2026-04-28T19:32:21.743555Z
2026,Brasileirão Série B,1,EOsvP,Botafogo-SP,True,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-botafogo-sp/EOsvP,advanced_stats_missing,2026-04-28T19:32:21.743567Z
2026,Brasileirão Série B,1,EOsvP,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-botafogo-sp/EOsvP,advanced_stats_missing,2026-04-28T19:32:21.743567Z
2026,Copa do Nordeste,1,vPsxdn,Ferroviário,True,,,,,,,,,,,,https://www.sofascore.com/football/match/ferroviario-fortaleza/vPsxdn,advanced_stats_missing,2026-04-28T19:32:21.743578Z
2026,Copa do Nordeste,1,vPsxdn,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/ferroviario-fortaleza/vPsxdn,advanced_stats_missing,2026-04-28T19:32:21.743578Z
2026,Copa do Nordeste,2,vPsGFKb,Fortaleza,True,,,,,,,,,,,,https://www.sofascore.com/football/match/imperatriz-fortaleza/vPsGFKb,advanced_stats_missing,2026-04-28T19:32:21.743588Z
2026,Copa do Nordeste,2,vPsGFKb,Imperatriz,False,,,,,,,,,,,,https://www.sofascore.com/football/match/imperatriz-fortaleza/vPsGFKb,advanced_stats_missing,2026-04-28T19:32:21.743588Z
2026,Brasileirão Série B,2,vPscJu,Fortaleza,True,,,,,,,,,,,,https://www.sofascore.com/football/match/cuiaba-fortaleza/vPscJu,advanced_stats_missing,2026-04-28T19:32:21.743599Z
2026,Brasileirão Série B,2,vPscJu,Cuiabá,False,,,,,,,,,,,,https://www.sofascore.com/football/match/cuiaba-fortaleza/vPscJu,advanced_stats_missing,2026-04-28T19:32:21.743599Z
2026,Brasileirão Série B,3,FOsvP,Fortaleza,True,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-juventude/FOsvP,advanced_stats_missing,2026-04-28T19:32:21.743610Z
2026,Brasileirão Série B,3,FOsvP,Juventude,False,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-juventude/FOsvP,advanced_stats_missing,2026-04-28T19:32:21.743610Z
2026,Copa do Nordeste,3,bPsvP,Ceará,True,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,advanced_stats_missing,2026-04-28T19:32:21.743620Z
2026,Copa do Nordeste,3,bPsvP,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,advanced_stats_missing,2026-04-28T19:32:21.743620Z
2026,Brasileirão Série B,4,vPseau,São Bernardo,True,,,,,,,,,,,,https://www.sofascore.com/football/match/sao-bernardo-fortaleza/vPseau,advanced_stats_missing,2026-04-28T19:32:21.743630Z
2026,Brasileirão Série B,4,vPseau,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/sao-bernardo-fortaleza/vPseau,advanced_stats_missing,2026-04-28T19:32:21.743630Z
2026,Copa do Nordeste,4,vPsyP,América-RN,True,,,,,,,,,,,,https://www.sofascore.com/football/match/america-rn-fortaleza/vPsyP,advanced_stats_missing,2026-04-28T19:32:21.743640Z
2026,Copa do Nordeste,4,vPsyP,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/america-rn-fortaleza/vPsyP,advanced_stats_missing,2026-04-28T19:32:21.743640Z
2026,Brasileirão Série B,5,JOsvP,Fortaleza,True,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-criciuma/JOsvP,advanced_stats_missing,2026-04-28T19:32:21.743650Z
2026,Brasileirão Série B,5,JOsvP,Criciúma,False,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-criciuma/JOsvP,advanced_stats_missing,2026-04-28T19:32:21.743650Z
2026,Copa Betano do Brasil,5,vPsHPi,Fortaleza,True,,,,,,,,,,,,https://www.sofascore.com/football/match/crb-fortaleza/vPsHPi,advanced_stats_missing,2026-04-28T19:32:21.743666Z
2026,Copa Betano do Brasil,5,vPsHPi,CRB,False,,,,,,,,,,,,https://www.sofascore.com/football/match/crb-fortaleza/vPsHPi,advanced_stats_missing,2026-04-28T19:32:21.743666Z
2026,Brasileirão Série B,6,vPsJRp,Operário-PR,True,,,,,,,,,,,,https://www.sofascore.com/football/match/operario-pr-fortaleza/vPsJRp,advanced_stats_missing,2026-04-28T19:32:21.743676Z
2026,Brasileirão Série B,6,vPsJRp,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/operario-pr-fortaleza/vPsJRp,advanced_stats_missing,2026-04-28T19:32:21.743676Z
