match_id,home_team,away_team,prob_away,prob_draw,prob_home,predicted_result,max_probability
0,Goiás,Vila Nova FC,0.8295416645438847,0.15383291660476583,0.016625418851349584,Away,0.8295416645438847
1,Athletic Club,Cuiabá,0.6708406347860391,0.2549710417928913,0.07418832342106965,Away,0.6708406347860391
2,Ponte Preta,Sport Recife,0.35200084093997114,0.35190188456558913,0.2960972744944398,Away,0.35200084093997114
3,Ceará,Atlético Goianiense,0.6854975423531515,0.26968485355601485,0.04481760409083361,Away,0.6854975423531515
4,CRB,Operário-PR,0.4020794851202927,0.33947396186557793,0.2584465530141294,Away,0.4020794851202927
5,Juventude,Criciúma,0.6539511262276604,0.19464312799360375,0.15140574577873578,Away,0.6539511262276604
6,Londrina,São Bernardo,0.5858704056334153,0.39845089970040803,0.01567869466617656,Away,0.5858704056334153
7,Náutico,América Mineiro,0.2749449740187777,0.22848045822209034,0.496574567759132,Home,0.496574567759132
8,Avaí,Fortaleza,0.9040994072306411,0.07432990900781916,0.021570683761539543,Away,0.9040994072306411
9,Grêmio Novorizontino,Botafogo-SP,0.5602803379634608,0.2598049085088318,0.1799147535277074,Away,0.5602803379634608
10,Londrina,São Bernardo,0.5858704056334153,0.39845089970040803,0.01567869466617656,Away,0.5858704056334153
