model,acc_train,acc_test,gap,f1_train,f1_test,ll_train,ll_test
Baseline,0.40441176470588236,0.4411764705882353,-0.03676470588235292,0.19197207678883074,0.20408163265306123,21.467175915577126,20.142041599800763
LogisticRegression,0.5955882352941176,0.6764705882352942,-0.08088235294117652,0.5693112754133924,0.6238095238095238,0.7805841849216998,0.7794119027674644
RandomForest,0.7352941176470589,0.7058823529411765,0.02941176470588236,0.7254834948333401,0.6611769872639438,0.6989058246823858,0.8334330042098874
XGBoost,0.8970588235294118,0.6764705882352942,0.22058823529411764,0.8949827272998004,0.6639095671353735,0.47254345440291096,0.7685345867447719
