season,competition_name,competition_round,match_id,team_name,team_key,is_home,possession,expected_goals,shots_total,shots_on_target,shots_on_target_pct,corners,fouls,passes_total,passes_accurate,passes_accuracy_pct,tackles_total,yellow_cards,red_cards,data_status,last_updated_at,transformed_at
2026,"Pernambucano, Serie A1, Playoffs",29,jOslP,Náutico,nautico,True,53.0,0.69,10.0,2.0,20.0,2.0,19.0,341.0,277.0,81.2,8.0,3,0,advanced_stats_confirmed,2026-04-16T17:41:38.674465Z,2026-04-29T13:40:07.204232Z
2026,"Pernambucano, Serie A1, Playoffs",29,jOslP,Sport Recife,sport,False,47.0,3.08,20.0,8.0,40.0,4.0,24.0,245.0,209.0,85.3,5.0,3,0,advanced_stats_confirmed,2026-04-16T17:41:38.674465Z,2026-04-29T13:40:07.204232Z
2026,Copa Betano do Brasil,3,jOsxMi,Sport Recife,sport,True,57.0,1.07,,4.0,,7.0,15.0,,,,,4,0,advanced_stats_partial,2026-04-16T17:41:38.674484Z,2026-04-29T13:40:07.204232Z
2026,Copa Betano do Brasil,3,jOsxMi,Anápolis,anapolis,False,43.0,1.0,,2.0,,1.0,29.0,,,,,3,0,advanced_stats_partial,2026-04-16T17:41:38.674484Z,2026-04-29T13:40:07.204232Z
2026,Copa Betano do Brasil,4,jOsAfMc,Sport Recife,sport,True,66.0,0.81,8.0,3.0,37.5,8.0,18.0,427.0,362.0,84.8,14.0,1,0,advanced_stats_confirmed,2026-04-16T17:41:38.674502Z,2026-04-29T13:40:07.204232Z
2026,Copa Betano do Brasil,4,jOsAfMc,Athletic Club,athletic-club,False,34.0,1.07,10.0,5.0,50.0,3.0,23.0,224.0,161.0,71.9,27.0,3,0,advanced_stats_confirmed,2026-04-16T17:41:38.674502Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,1,jOscJu,Cuiabá,cuiaba,True,42.0,1.32,13.0,4.0,30.8,0.0,20.0,356.0,290.0,81.5,12.0,1,0,advanced_stats_confirmed,2026-04-16T17:41:38.674521Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,1,jOscJu,Sport Recife,sport,False,58.0,0.92,10.0,1.0,10.0,1.0,21.0,500.0,428.0,85.6,8.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674521Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,1,jOsqTJ,Sport Recife,sport,True,56.0,0.51,7.0,5.0,71.4,4.0,17.0,473.0,402.0,85.0,5.0,3,0,advanced_stats_confirmed,2026-04-16T17:41:38.674538Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,1,jOsqTJ,Jacuipense,jacuipense,False,44.0,1.26,8.0,2.0,25.0,4.0,9.0,311.0,257.0,82.6,7.0,4,0,advanced_stats_confirmed,2026-04-16T17:41:38.674538Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,2,jOsNLi,ABC,abc,True,47.0,2.06,16.0,3.0,18.8,9.0,14.0,267.0,206.0,77.2,3.0,5,0,advanced_stats_confirmed,2026-04-16T17:41:38.674556Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,2,jOsNLi,Sport Recife,sport,False,53.0,1.02,13.0,4.0,30.8,2.0,13.0,293.0,245.0,83.6,4.0,3,0,advanced_stats_confirmed,2026-04-16T17:41:38.674556Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,2,jOswP,Sport Recife,sport,True,39.0,0.68,10.0,7.0,70.0,6.0,11.0,320.0,250.0,78.1,16.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674573Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,2,jOswP,Vila Nova FC,vila-nova,False,61.0,1.64,16.0,2.0,12.5,3.0,12.0,505.0,446.0,88.3,17.0,4,0,advanced_stats_confirmed,2026-04-16T17:41:38.674573Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,3,jOsxP,Londrina,londrina,True,38.0,0.85,13.0,3.0,23.1,5.0,13.0,281.0,223.0,79.4,18.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674619Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,3,jOsxP,Sport Recife,sport,False,62.0,2.23,16.0,4.0,25.0,7.0,13.0,481.0,418.0,86.9,16.0,0,0,advanced_stats_confirmed,2026-04-16T17:41:38.674619Z,2026-04-29T13:40:07.204232Z
