rank_xpts,team_name,team_key,MP,xPts,xW,xD,xL,Pts,W,D,L,GF,GA,GD,pts_diff,sos,sos_rank,generated_at
1,Criciúma,criciuma,7,11.71,3.26,1.92,1.81,11,3,2,2,9.0,7.0,2.0,-0.71,0.496,14,2026-05-05T13:49:35.337274Z
2,Atlético Goianiense,atletico-go,7,11.65,3.41,1.43,2.16,8,2,2,3,7.0,8.0,-1.0,-3.65,0.512,8,2026-05-05T13:49:35.337274Z
3,Operário-PR,operario-pr,7,11.21,3.06,2.03,1.91,12,3,3,1,7.0,3.0,4.0,0.79,0.578,2,2026-05-05T13:49:35.337274Z
4,Sport Recife,sport,7,11.1,3.16,1.61,2.23,13,3,4,0,8.0,4.0,4.0,1.9,0.457,19,2026-05-05T13:49:35.337274Z
5,Grêmio Novorizontino,novorizontino,7,11.06,3.1,1.76,2.14,9,2,3,2,10.0,9.0,1.0,-2.06,0.427,20,2026-05-05T13:49:35.337274Z
6,CRB,crb,7,10.91,3.04,1.8,2.16,5,1,2,4,8.0,12.0,-4.0,-5.91,0.512,8,2026-05-05T13:49:35.337274Z
7,Vila Nova FC,vila-nova,7,10.61,2.95,1.75,2.29,13,3,4,0,12.0,9.0,3.0,2.39,0.506,13,2026-05-05T13:49:35.337274Z
8,Botafogo-SP,botafogo-sp,7,10.06,2.78,1.73,2.49,9,2,3,2,10.0,7.0,3.0,-1.06,0.519,7,2026-05-05T13:49:35.337274Z
9,Ceará,ceara,7,10.01,2.81,1.58,2.61,10,2,4,1,8.0,7.0,1.0,-0.01,0.547,4,2026-05-05T13:49:35.337274Z
10,Náutico,nautico,7,9.97,2.72,1.81,2.47,10,3,1,3,5.0,7.0,-2.0,0.03,0.49,15,2026-05-05T13:49:35.337274Z
11,Cuiabá,cuiaba,7,9.81,2.5,2.3,2.2,8,1,5,1,4.0,4.0,0.0,-1.81,0.622,1,2026-05-05T13:49:35.337274Z
12,Fortaleza,fortaleza,7,9.57,2.47,2.16,2.37,14,4,2,1,10.0,8.0,2.0,4.43,0.509,10,2026-05-05T13:49:35.337274Z
13,São Bernardo,sao-bernardo,7,9.42,2.59,1.65,2.76,13,4,1,2,11.0,5.0,6.0,3.58,0.541,5,2026-05-05T13:49:35.337274Z
14,América Mineiro,america-mg,7,9.03,2.42,1.77,2.81,2,0,2,5,4.0,12.0,-8.0,-7.03,0.464,18,2026-05-05T13:49:35.337274Z
15,Ponte Preta,ponte-preta,7,8.87,2.42,1.62,2.96,7,2,1,4,5.0,9.0,-4.0,-1.87,0.52,6,2026-05-05T13:49:35.337274Z
16,Juventude,juventude,7,8.77,2.12,2.41,2.47,11,3,2,2,5.0,4.0,1.0,2.23,0.469,16,2026-05-05T13:49:35.337274Z
17,Goiás,goias,7,8.02,2.04,1.91,3.06,7,2,1,4,7.0,12.0,-5.0,-1.02,0.507,12,2026-05-05T13:49:35.337274Z
18,Avaí,avai,7,7.51,1.94,1.69,3.37,9,2,3,2,10.0,9.0,1.0,1.49,0.508,11,2026-05-05T13:49:35.337274Z
19,Athletic Club,athletic-club,7,7.15,1.83,1.65,3.52,9,2,3,2,9.0,9.0,0.0,1.85,0.465,17,2026-05-05T13:49:35.337274Z
20,Londrina,londrina,7,5.46,1.28,1.63,4.09,5,1,2,4,7.0,11.0,-4.0,-0.46,0.554,3,2026-05-05T13:49:35.337274Z
