rank_xpts,team_name,team_key,MP,xPts,xW,xD,xL,Pts,W,D,L,GF,GA,GD,pts_diff,sos,sos_rank,generated_at
1,Criciúma,criciuma,5,8.8,2.49,1.33,1.18,7,2,1,2,5.0,5.0,0.0,-1.8,0.466,5,2026-04-28T13:46:43.110753Z
2,Grêmio Novorizontino,novorizontino,5,8.73,2.48,1.28,1.23,8,2,2,1,7.0,5.0,2.0,-0.73,0.28,19,2026-04-28T13:46:43.110753Z
3,Ceará,ceara,5,8.58,2.48,1.15,1.38,9,2,3,0,5.0,2.0,3.0,0.42,0.274,20,2026-04-28T13:46:43.110753Z
4,CRB,crb,5,7.94,2.21,1.32,1.47,2,0,2,3,5.0,8.0,-3.0,-5.94,0.413,8,2026-04-28T13:46:43.110753Z
5,Operário-PR,operario-pr,5,7.43,2.01,1.4,1.59,8,2,2,1,4.0,3.0,1.0,0.57,0.354,13,2026-04-28T13:46:43.110753Z
6,Atlético Goianiense,atletico-go,5,7.33,2.12,0.97,1.91,4,1,1,3,5.0,7.0,-2.0,-3.33,0.306,15,2026-04-28T13:46:43.110753Z
7,Cuiabá,cuiaba,5,7.2,1.84,1.67,1.49,6,1,3,1,2.0,2.0,0.0,-1.2,0.595,1,2026-04-28T13:46:43.110753Z
8,Náutico,nautico,5,7.13,1.98,1.19,1.83,6,2,0,3,3.0,6.0,-3.0,-1.13,0.367,11,2026-04-28T13:46:43.110753Z
9,Ponte Preta,ponte-preta,5,6.99,1.98,1.06,1.96,4,1,1,3,4.0,6.0,-2.0,-2.99,0.412,9,2026-04-28T13:46:43.110753Z
10,Botafogo-SP,botafogo-sp,5,6.97,1.94,1.17,1.9,7,2,1,2,8.0,5.0,3.0,0.03,0.427,7,2026-04-28T13:46:43.110753Z
11,Vila Nova FC,vila-nova,5,6.96,1.9,1.28,1.83,11,3,2,0,8.0,5.0,3.0,4.04,0.351,14,2026-04-28T13:46:43.110753Z
12,América Mineiro,america-mg,5,6.81,1.87,1.19,1.93,2,0,2,3,3.0,9.0,-6.0,-4.81,0.434,6,2026-04-28T13:46:43.110753Z
13,Sport Recife,sport,5,6.75,1.86,1.16,1.98,7,1,4,0,5.0,4.0,1.0,0.25,0.296,17,2026-04-28T13:46:43.110753Z
14,Juventude,juventude,5,6.73,1.64,1.8,1.55,7,2,1,2,4.0,4.0,0.0,0.27,0.481,3,2026-04-28T13:46:43.110753Z
15,Fortaleza,fortaleza,5,6.47,1.64,1.56,1.81,10,3,1,1,6.0,7.0,-1.0,3.53,0.356,12,2026-04-28T13:46:43.110753Z
16,Goiás,goias,5,6.37,1.63,1.49,1.89,7,2,1,2,6.0,7.0,-1.0,0.63,0.298,16,2026-04-28T13:46:43.110753Z
17,Avaí,avai,5,5.48,1.42,1.22,2.36,8,2,2,1,6.0,4.0,2.0,2.52,0.383,10,2026-04-28T13:46:43.110753Z
18,São Bernardo,sao-bernardo,5,5.35,1.37,1.23,2.4,7,2,1,2,7.0,5.0,2.0,1.65,0.488,2,2026-04-28T13:46:43.110753Z
19,Athletic Club,athletic-club,5,5.24,1.38,1.09,2.52,8,2,2,1,8.0,7.0,1.0,2.76,0.287,18,2026-04-28T13:46:43.110753Z
20,Londrina,londrina,5,3.95,0.99,0.98,3.03,5,1,2,2,7.0,7.0,0.0,1.05,0.47,4,2026-04-28T13:46:43.110753Z
