rank_xpts,team_name,team_key,MP,xPts,xW,xD,xL,Pts,W,D,L,GF,GA,GD,pts_diff,sos,sos_rank,generated_at
1,CRB,crb,9,14.85,4.17,2.34,2.49,11,3,2,4,13.0,13.0,0.0,-3.85,0.507,11,2026-05-22T12:32:09.621677Z
2,Atlético Goianiense,atletico-go,9,14.29,4.12,1.92,2.96,12,3,3,3,9.0,9.0,0.0,-2.29,0.484,15,2026-05-22T12:32:09.621677Z
3,Grêmio Novorizontino,novorizontino,9,14.2,3.94,2.39,2.67,13,3,4,2,11.0,9.0,2.0,-1.2,0.416,20,2026-05-22T12:32:09.621677Z
4,Criciúma,criciuma,9,13.75,3.78,2.42,2.8,13,3,4,2,10.0,8.0,2.0,-0.75,0.528,7,2026-05-22T12:32:09.621677Z
5,Operário-PR,operario-pr,9,13.54,3.68,2.48,2.83,12,3,3,3,9.0,12.0,-3.0,-1.54,0.567,3,2026-05-22T12:32:09.621677Z
6,Náutico,nautico,9,13.33,3.69,2.27,3.04,16,5,1,3,15.0,9.0,6.0,2.67,0.421,19,2026-05-22T12:32:09.621677Z
7,Vila Nova FC,vila-nova,9,13.07,3.58,2.34,3.08,16,4,4,1,14.0,10.0,4.0,2.93,0.492,14,2026-05-22T12:32:09.621677Z
8,Sport Recife,sport,9,13.04,3.66,2.07,3.27,16,4,4,1,12.0,7.0,5.0,2.96,0.446,17,2026-05-22T12:32:09.621677Z
9,Ceará,ceara,9,12.72,3.56,2.04,3.4,13,3,4,2,10.0,9.0,1.0,0.28,0.592,2,2026-05-22T12:32:09.621677Z
10,São Bernardo,sao-bernardo,9,12.67,3.45,2.34,3.22,17,5,2,2,15.0,7.0,8.0,4.33,0.444,18,2026-05-22T12:32:09.621677Z
11,Cuiabá,cuiaba,9,12.34,3.11,3.0,2.89,10,1,7,1,4.0,4.0,0.0,-2.34,0.545,5,2026-05-22T12:32:09.621677Z
12,Fortaleza,fortaleza,9,11.99,3.11,2.66,3.23,15,4,3,2,11.0,10.0,1.0,3.01,0.471,16,2026-05-22T12:32:09.621677Z
13,Goiás,goias,9,11.81,3.06,2.62,3.31,13,4,1,4,9.0,12.0,-3.0,1.19,0.51,10,2026-05-22T12:32:09.621677Z
14,Juventude,juventude,9,11.66,2.92,2.91,3.17,13,3,4,2,6.0,5.0,1.0,1.34,0.505,12,2026-05-22T12:32:09.621677Z
15,Botafogo-SP,botafogo-sp,9,11.48,2.99,2.52,3.5,9,2,3,4,10.0,9.0,1.0,-2.48,0.54,6,2026-05-22T12:32:09.621677Z
16,Ponte Preta,ponte-preta,9,11.35,3.11,2.01,3.87,7,2,1,6,7.0,16.0,-9.0,-4.35,0.523,8,2026-05-22T12:32:09.621677Z
17,Athletic Club,athletic-club,9,10.54,2.73,2.35,3.92,11,2,5,2,10.0,10.0,0.0,0.46,0.501,13,2026-05-22T12:32:09.621677Z
18,Avaí,avai,9,10.49,2.75,2.25,4.01,10,2,4,3,10.0,11.0,-1.0,-0.49,0.602,1,2026-05-22T12:32:09.621677Z
19,América Mineiro,america-mg,9,10.25,2.63,2.36,4.01,3,0,3,6,5.0,17.0,-12.0,-7.25,0.518,9,2026-05-22T12:32:09.621677Z
20,Londrina,londrina,9,8.86,2.22,2.2,4.58,8,2,2,5,12.0,15.0,-3.0,-0.86,0.546,4,2026-05-22T12:32:09.621677Z
