rank_xpts,team_name,team_key,MP,xPts,xPts_adj,xpts_adj_delta,xW,xD,xL,Pts,W,D,L,GF,GA,GD,pts_diff,pts_diff_adj,sos,sos_rank,generated_at
1,Clube De Regatas Brasil,clube-de-regatas-brasil,10,16.84,16.84,-0.14,4.8,2.58,2.62,14,4,2,4,17.0,15.0,2.0,-2.84,-2.84,0.467,12,2026-06-04T14:37:06.335329Z
2,Náutico,nautico,10,15.42,15.42,-0.32,4.43,2.47,3.11,19,6,1,3,16.0,9.0,7.0,3.58,3.58,0.379,20,2026-06-04T14:37:06.335329Z
3,Atlético Goianiense,atletico-go,10,15.21,15.21,0.02,4.35,2.15,3.5,12,3,3,4,9.0,10.0,-1.0,-3.21,-3.21,0.463,13,2026-06-04T14:37:06.335329Z
4,São Bernardo,sao-bernardo,10,15.04,15.04,0.5,3.99,2.57,3.44,20,6,2,2,16.0,7.0,9.0,4.96,4.96,0.419,17,2026-06-04T14:37:06.335329Z
5,Grêmio Novorizontino,novorizontino,10,14.8,14.8,-1.09,4.38,2.75,2.87,16,4,4,2,13.0,10.0,3.0,1.2,1.2,0.419,17,2026-06-04T14:37:06.335329Z
6,Goiás,goias,10,14.78,14.78,0.5,3.83,2.78,3.38,16,5,1,4,11.0,12.0,-1.0,1.22,1.22,0.455,15,2026-06-04T14:37:06.335329Z
7,Fortaleza,fortaleza,10,14.68,14.68,0.02,3.96,2.78,3.26,18,5,3,2,14.0,10.0,4.0,3.32,3.32,0.404,19,2026-06-04T14:37:06.335329Z
8,Operário-PR,operario-pr,10,14.52,14.52,-0.84,4.2,2.76,3.04,13,3,4,3,10.0,13.0,-3.0,-1.52,-1.52,0.558,4,2026-06-04T14:37:06.335329Z
9,Criciúma,criciuma,10,14.38,14.38,-0.27,3.98,2.7,3.32,14,3,5,2,11.0,9.0,2.0,-0.38,-0.38,0.516,10,2026-06-04T14:37:06.335329Z
10,Ceará,ceara,10,14.1,14.1,0.43,3.76,2.4,3.84,13,3,4,3,11.0,11.0,0.0,-1.1,-1.1,0.569,3,2026-06-04T14:37:06.335329Z
11,Sport Recife,sport,10,13.89,13.89,-0.19,3.89,2.4,3.71,19,5,4,1,13.0,7.0,6.0,5.11,5.11,0.442,16,2026-06-04T14:37:06.335329Z
12,Vila Nova FC,vila-nova,10,13.74,13.74,0.03,3.72,2.55,3.73,19,5,4,1,16.0,11.0,5.0,5.26,5.26,0.459,14,2026-06-04T14:37:06.335329Z
13,Juventude,juventude,10,13.35,13.35,0.04,3.36,3.24,3.41,13,3,4,3,6.0,6.0,0.0,-0.35,-0.35,0.55,6,2026-06-04T14:37:06.335329Z
14,Cuiabá,cuiaba,10,12.96,12.96,0.23,3.18,3.19,3.63,10,1,7,2,4.0,5.0,-1.0,-2.96,-2.96,0.546,7,2026-06-04T14:37:06.335329Z
15,Botafogo-SP,botafogo-sp,10,12.73,12.73,-0.38,3.44,2.79,3.77,9,2,3,5,11.0,11.0,0.0,-3.73,-3.73,0.517,9,2026-06-04T14:37:06.335329Z
16,América Mineiro,america-mg,10,12.27,12.27,-0.13,3.28,2.57,4.16,3,0,3,7,6.0,19.0,-13.0,-9.27,-9.27,0.585,2,2026-06-04T14:37:06.335329Z
17,Ponte Preta,ponte-preta,10,12.23,12.23,0.24,3.24,2.25,4.5,7,2,1,7,9.0,20.0,-11.0,-5.23,-5.23,0.536,8,2026-06-04T14:37:06.335329Z
18,Athletic Club,athletic-club,10,11.76,11.76,0.13,3.0,2.63,4.37,14,3,5,2,12.0,11.0,1.0,2.24,2.24,0.472,11,2026-06-04T14:37:06.335329Z
19,Avaí,avai,10,10.85,10.85,0.0,2.82,2.41,4.78,10,2,4,4,10.0,13.0,-3.0,-0.85,-0.85,0.608,1,2026-06-04T14:37:06.335329Z
20,Londrina,londrina,10,9.3,9.3,0.23,2.25,2.33,5.42,8,2,2,6,12.0,18.0,-6.0,-1.3,-1.3,0.554,5,2026-06-04T14:37:06.335329Z
